location,lon,lat,Colinus virginianus,Coturnix coturnix,Alectoris graeca,Alectoris chukar,Alectoris barbara,Alectoris rufa,Syrmaticus reevesii,Chrysolophus pictus,Chrysolophus amherstiae,Phasianus colchicus,Perdix perdix,Meleagris gallopavo,Lagopus lagopus,Lagopus muta,Tetrao urogallus,Lyrurus tetrix,Oxyura jamaicensis,Oxyura leucocephala,Cygnus olor,Cygnus cygnus,Branta leucopsis,Branta canadensis,Anser anser,Anser fabalis,Anser brachyrhynchus,Anser albifrons,Anser erythropus,Clangula hyemalis,Somateria mollissima,Melanitta fusca,Melanitta nigra,Bucephala clangula,Mergellus albellus,Mergus merganser,Mergus serrator,Alopochen aegyptiaca,Tadorna tadorna,Tadorna ferruginea,Aix sponsa,Aix galericulata,Marmaronetta angustirostris,Netta rufina,Aythya ferina,Aythya nyroca,Aythya fuligula,Aythya marila,Spatula querquedula,Spatula clypeata,Mareca strepera,Mareca penelope,Anas platyrhynchos,Anas acuta,Anas crecca,Tachybaptus ruficollis,Podiceps grisegena,Podiceps cristatus,Podiceps auritus,Podiceps nigricollis,Phoenicopterus roseus,Columba livia,Columba oenas,Columba palumbus,Streptopelia turtur,Streptopelia decaocto,Spilopelia senegalensis,Pterocles orientalis,Pterocles alchata,Caprimulgus ruficollis,Caprimulgus europaeus,Tachymarptis melba,Apus caffer,Apus pallidus,Apus apus,Clamator glandarius,Cuculus canorus,Cuculus saturatus,Rallus aquaticus,Crex crex,Porzana porzana,Porphyrio porphyrio,Gallinula chloropus,Fulica cristata,Fulica atra,Grus grus,Tetrax tetrax,Otis tarda,Gavia stellata,Gavia arctica,Hydrobates pelagicus,Hydrobates castro,Hydrobates leucorhous,Fulmarus glacialis,Calonectris diomedea,Puffinus puffinus,Puffinus yelkouan,Ciconia nigra,Ciconia ciconia,Platalea leucorodia,Plegadis falcinellus,Botaurus stellaris,Ixobrychus minutus,Nycticorax nycticorax,Ardeola ralloides,Bubulcus ibis,Ardea cinerea,Ardea purpurea,Ardea alba,Egretta garzetta,Pelecanus crispus,Pelecanus onocrotalus,Morus bassanus,Microcarbo pygmaeus,Phalacrocorax carbo,Burhinus oedicnemus,Haematopus ostralegus,Recurvirostra avosetta,Himantopus himantopus,Pluvialis apricaria,Eudromias morinellus,Charadrius hiaticula,Charadrius dubius,Charadrius alexandrinus,Vanellus vanellus,Vanellus spinosus,Numenius phaeopus,Numenius arquata,Limosa lapponica,Limosa limosa,Arenaria interpres,Calidris pugnax,Calidris falcinellus,Calidris temminckii,Calidris alpina,Calidris maritima,Calidris minuta,Calidris melanotos,Scolopax rusticola,Gallinago media,Gallinago gallinago,Lymnocryptes minimus,Phalaropus lobatus,Phalaropus fulicarius,Xenus cinereus,Actitis hypoleucos,Tringa ochropus,Tringa nebularia,Tringa totanus,Tringa glareola,Tringa erythropus,Tringa stagnatilis,Glareola pratincola,Glareola nordmanni,Hydrocoloeus minutus,Rissa tridactyla,Larus genei,Larus ridibundus,Larus melanocephalus,Larus audouinii,Larus canus,Larus fuscus,Larus argentatus,Larus michahellis,Larus marinus,Sternula albifrons,Gelochelidon nilotica,Hydroprogne caspia,Chlidonias hybrida,Chlidonias leucopterus,Chlidonias niger,Sterna dougallii,Sterna hirundo,Sterna paradisaea,Thalasseus sandvicensis,Stercorarius longicaudus,Stercorarius parasiticus,Stercorarius pomarinus,Catharacta skua,Fratercula arctica,Cepphus grylle,Alca torda,Uria lomvia,Uria aalge,Tyto alba,Surnia ulula,Glaucidium passerinum,Athene noctua,Aegolius funereus,Otus scops,Asio otus,Asio flammeus,Strix aluco,Strix uralensis,Strix nebulosa,Bubo scandiacus,Bubo bubo,Pandion haliaetus,Elanus caeruleus,Pernis apivorus,Gypaetus barbatus,Neophron percnopterus,Circaetus gallicus,Gyps fulvus,Aegypius monachus,Clanga clanga,Aquila adalberti,Aquila heliaca,Aquila chrysaetos,Aquila fasciata,Hieraaetus pennatus,Circus aeruginosus,Circus cyaneus,Circus macrourus,Circus pygargus,Accipiter brevipes,Accipiter nisus,Accipiter gentilis,Haliaeetus albicilla,Milvus milvus,Milvus migrans,Buteo lagopus,Buteo buteo,Buteo rufinus,Upupa epops,Merops apiaster,Coracias garrulus,Alcedo atthis,Jynx torquilla,Picus canus,Picus viridis,Dryocopus martius,Picoides tridactylus,Leiopicus medius,Dryobates minor,Dendrocopos major,Falco naumanni,Falco tinnunculus,Falco vespertinus,Falco eleonorae,Falco columbarius,Falco subbuteo,Falco biarmicus,Falco cherrug,Falco rusticolus,Falco peregrinus,Myiopsitta monachus,Alexandrinus krameri,Oriolus oriolus,Lanius collurio,Lanius minor,Lanius excubitor,Lanius senator,Lanius nubicus,Pyrrhocorax pyrrhocorax,Pyrrhocorax graculus,Perisoreus infaustus,Garrulus glandarius,Pica pica,Nucifraga caryocatactes,Corvus monedula,Corvus frugilegus,Corvus corax,Corvus corone,Periparus ater,Lophophanes cristatus,Poecile lugubris,Poecile palustris,Poecile montanus,Poecile cinctus,Cyanistes caeruleus,Parus major,Remiz pendulinus,Chersophilus duponti,Alaudala rufescens,Melanocorypha calandra,Calandrella brachydactyla,Eremophila alpestris,Lullula arborea,Alauda arvensis,Galerida theklae,Galerida cristata,Panurus biarmicus,Cisticola juncidis,Iduna caligata,Iduna pallida,Hippolais olivetorum,Hippolais polyglotta,Hippolais icterina,Acrocephalus paludicola,Acrocephalus melanopogon,Acrocephalus schoenobaenus,Acrocephalus dumetorum,Acrocephalus palustris,Acrocephalus scirpaceus,Acrocephalus agricola,Acrocephalus arundinaceus,Locustella lanceolata,Locustella luscinioides,Locustella fluviatilis,Locustella naevia,Delichon urbicum,Cecropis daurica,Hirundo rustica,Ptyonoprogne rupestris,Riparia riparia,Phylloscopus bonelli,Phylloscopus sibilatrix,Phylloscopus trochilus,Phylloscopus collybita,Phylloscopus trochiloides,Phylloscopus borealis,Cettia cetti,Aegithalos caudatus,Sylvia atricapilla,Sylvia borin,Curruca nisoria,Curruca hortensis,Curruca curruca,Curruca melanocephala,Curruca cantillans,Curruca ruppeli,Curruca communis,Curruca conspicillata,Curruca undata,Certhia brachydactyla,Certhia familiaris,Sitta europaea,Sitta neumayer,Tichodroma muraria,Troglodytes troglodytes,Cinclus cinclus,Sturnus vulgaris,Sturnus unicolor,Pastor roseus,Acridotheres tristis,Acridotheres cristatellus,Turdus viscivorus,Turdus philomelos,Turdus iliacus,Turdus merula,Turdus pilaris,Turdus torquatus,Cercotrichas galactotes,Muscicapa striata,Erithacus rubecula,Luscinia svecica,Luscinia luscinia,Luscinia megarhynchos,Tarsiger cyanurus,Ficedula parva,Ficedula semitorquata,Ficedula hypoleuca,Ficedula albicollis,Phoenicurus ochruros,Phoenicurus phoenicurus,Monticola saxatilis,Monticola solitarius,Saxicola rubetra,Saxicola torquatus,Oenanthe oenanthe,Oenanthe isabellina,Oenanthe hispanica,Oenanthe pleschanka,Oenanthe leucura,Regulus regulus,Regulus ignicapilla,Bombycilla garrulus,Prunella collaris,Prunella modularis,Estrilda melpoda,Estrilda astrild,Amandava amandava,Passer domesticus,Passer italiae,Passer hispaniolensis,Passer montanus,Petronia petronia,Montifringilla nivalis,Anthus trivialis,Anthus cervinus,Anthus pratensis,Anthus spinoletta,Anthus petrosus,Anthus campestris,Motacilla flava,Motacilla cinerea,Motacilla citreola,Motacilla alba,Fringilla coelebs,Fringilla montifringilla,Coccothraustes coccothraustes,Carpodacus erythrinus,Pinicola enucleator,Pyrrhula pyrrhula,Bucanetes githagineus,Chloris chloris,Linaria flavirostris,Linaria cannabina,Acanthis flammea,Loxia pytyopsittacus,Loxia scotica,Loxia curvirostra,Loxia leucoptera,Carduelis carduelis,Carduelis citrinella,Serinus serinus,Spinus spinus,Calcarius lapponicus,Plectrophenax nivalis,Emberiza melanocephala,Emberiza calandra,Emberiza cia,Emberiza hortulana,Emberiza caesia,Emberiza cirlus,Emberiza citrinella,Emberiza schoeniclus,Emberiza rustica,Emberiza pusilla
29SND2,2710311.7174020633,1975498.0238023067,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
29SND3,2770090.5718831206,2011722.556109633,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
29SND4,2758911.0148001676,1963096.7405901635,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
29SNE2,2732792.9296356267,2072789.6426192606,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
29SNE4,2781335.7831795425,2060355.942930184,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0
29SPB2,2763607.5883031804,1756423.4593849268,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
29SPB3,2823239.4460454034,1792788.9525033918,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
29SPB4,2812389.6055622967,1744239.5209564683,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
29SPC1,2796456.694384392,1902163.5557429565,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
29SPC4,2834157.6140950476,1841348.98999183,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
29SPD2,2807540.802822005,1950762.6058475827,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
