location,lon,lat,Regulus regulus,Regulus ignicapilla,Muscicapa striata,Poecile palustris,Ficedula parva,Ficedula semitorquata,Ficedula albicollis,Panurus biarmicus,Ficedula hypoleuca,Aegithalos caudatus,Poecile lugubris,Poecile montanus,Poecile cinctus,Lophophanes cristatus,Periparus ater,Cyanistes caeruleus,Parus major,Sitta europaea,Sitta neumayer,Tichodroma muraria,Certhia familiaris,Certhia brachydactyla,Remiz pendulinus,Oriolus oriolus,Lanius collurio,Lanius minor,Lanius excubitor,Lanius senator,Lanius nubicus,Garrulus glandarius,Perisoreus infaustus,Pica pica,Nucifraga caryocatactes,Pyrrhocorax graculus,Pyrrhocorax pyrrhocorax,Corvus monedula,Corvus frugilegus,Corvus corone,Corvus corax,Sturnus vulgaris,Sturnus unicolor,Pastor roseus,Passer domesticus,Passer italiae,Passer hispaniolensis,Passer montanus,Petronia petronia,Montifringilla nivalis,Estrilda astrild,Fringilla coelebs,Fringilla montifringilla,Serinus serinus,Spinus spinus,Carduelis citrinella,Chloris chloris,Carduelis carduelis,Linaria cannabina,Linaria flavirostris,Acanthis flammea,Loxia leucoptera,Loxia curvirostra,Loxia scotica,Loxia pytyopsittacus,Carpodacus erythrinus,Pinicola enucleator,Pyrrhula pyrrhula,Coccothraustes coccothraustes,Calcarius lapponicus,Plectrophenax nivalis,Emberiza citrinella,Emberiza cirlus,Emberiza cia,Emberiza hortulana,Emberiza caesia,Emberiza rustica,Emberiza pusilla,Emberiza schoeniclus,Emberiza melanocephala,Emberiza calandra,Gavia stellata,Podiceps grisegena,Podiceps auritus,Cygnus cygnus,Anser fabalis,Branta canadensis,Branta leucopsis,Anas acuta,Somateria mollissima,Bucephala clangula,Pernis apivorus,Haliaeetus albicilla,Circus cyaneus,Accipiter gentilis,Aquila chrysaetos,Falco tinnunculus,Falco peregrinus,Lyrurus tetrix,Chrysolophus pictus,Grus grus,Haematopus ostralegus,Bubo bubo,Pluvialis apricaria,Vanellus vanellus,Calidris falcinellus,Lymnocryptes minimus,Numenius phaeopus,Tringa ochropus,Arenaria interpres,Larus fuscus,Sterna dougallii,Uria aalge,Columba livia,Glaucidium passerinum,Strix nebulosa,Asio otus,Caprimulgus europaeus,Aegolius funereus,Dryobates minor,Dendrocopos major,Picoides tridactylus,Lullula arborea,Eremophila alpestris,Hirundo rustica,Anthus campestris,Motacilla flava,Anthus cervinus,Anthus petrosus,Luscinia svecica,Motacilla alba,Troglodytes troglodytes,Bombycilla garrulus,Cinclus cinclus,Saxicola rubetra,Oenanthe oenanthe,Turdus merula,Phoenicurus phoenicurus,Acrocephalus schoenobaenus,Hippolais icterina,Acrocephalus scirpaceus,Sylvia atricapilla,Phylloscopus collybita,Phylloscopus sibilatrix,Gavia arctica,Tachybaptus ruficollis,Podiceps cristatus,Podiceps nigricollis,Fulmarus glacialis,Puffinus yelkouan,Puffinus puffinus,Hydrobates pelagicus,Phalacrocorax carbo,Morus bassanus,Microcarbo pygmaeus,Botaurus stellaris,Ixobrychus minutus,Nycticorax nycticorax,Ardeola ralloides,Bubulcus ibis,Egretta garzetta,Ardea alba,Ardea cinerea,Ardea purpurea,Ciconia nigra,Ciconia ciconia,Plegadis falcinellus,Platalea leucorodia,Cygnus olor,Anser erythropus,Anser anser,Alopochen aegyptiaca,Tadorna tadorna,Tadorna ferruginea,Aix galericulata,Mareca penelope,Mareca strepera,Anas crecca,Anas platyrhynchos,Spatula querquedula,Spatula clypeata,Netta rufina,Marmaronetta angustirostris,Aythya ferina,Aythya nyroca,Aythya fuligula,Aythya marila,Clangula hyemalis,Melanitta nigra,Melanitta fusca,Mergellus albellus,Mergus serrator,Mergus merganser,Oxyura jamaicensis,Milvus migrans,Elanus caeruleus,Milvus milvus,Gypaetus barbatus,Neophron percnopterus,Gyps fulvus,Aegypius monachus,Circaetus gallicus,Circus aeruginosus,Circus pygargus,Accipiter nisus,Accipiter brevipes,Buteo buteo,Buteo rufinus,Buteo lagopus,Aquila heliaca,Clanga clanga,Aquila adalberti,Hieraaetus pennatus,Aquila fasciata,Pandion haliaetus,Falco naumanni,Falco vespertinus,Falco columbarius,Falco subbuteo,Falco biarmicus,Falco eleonorae,Falco cherrug,Falco rusticolus,Lagopus lagopus,Lagopus muta,Tetrao urogallus,Colinus virginianus,Alectoris chukar,Alectoris graeca,Alectoris rufa,Perdix perdix,Coturnix coturnix,Phasianus colchicus,Syrmaticus reevesii,Rallus aquaticus,Porzana porzana,Crex crex,Gallinula chloropus,Porphyrio porphyrio,Fulica atra,Fulica cristata,Tetrax tetrax,Otis tarda,Recurvirostra avosetta,Himantopus himantopus,Burhinus oedicnemus,Glareola pratincola,Charadrius dubius,Charadrius hiaticula,Charadrius alexandrinus,Eudromias morinellus,Calidris temminckii,Calidris maritima,Calidris alpina,Calidris pugnax,Gallinago gallinago,Gallinago media,Scolopax rusticola,Limosa limosa,Limosa lapponica,Numenius arquata,Tringa erythropus,Tringa totanus,Tringa stagnatilis,Tringa nebularia,Tringa glareola,Actitis hypoleucos,Phalaropus lobatus,Stercorarius parasiticus,Stercorarius longicaudus,Catharacta skua,Larus melanocephalus,Hydrocoloeus minutus,Larus ridibundus,Larus canus,Larus argentatus,Larus michahellis,Larus marinus,Rissa tridactyla,Gelochelidon nilotica,Hydroprogne caspia,Thalasseus sandvicensis,Sterna hirundo,Sterna paradisaea,Sternula albifrons,Chlidonias hybrida,Chlidonias niger,Chlidonias leucopterus,Alca torda,Cepphus grylle,Fratercula arctica,Pterocles orientalis,Pterocles alchata,Columba oenas,Columba palumbus,Streptopelia decaocto,Streptopelia turtur,Myiopsitta monachus,Alexandrinus krameri,Clamator glandarius,Cuculus canorus,Tyto alba,Otus scops,Bubo scandiacus,Surnia ulula,Athene noctua,Strix aluco,Strix uralensis,Asio flammeus,Caprimulgus ruficollis,Apus apus,Apus pallidus,Tachymarptis melba,Apus caffer,Alcedo atthis,Merops apiaster,Coracias garrulus,Upupa epops,Jynx torquilla,Picus canus,Picus viridis,Dryocopus martius,Leiopicus medius,Melanocorypha calandra,Chersophilus duponti,Calandrella brachydactyla,Alaudala rufescens,Galerida cristata,Galerida theklae,Alauda arvensis,Riparia riparia,Ptyonoprogne rupestris,Cecropis daurica,Delichon urbicum,Anthus trivialis,Anthus pratensis,Anthus spinoletta,Motacilla citreola,Motacilla cinerea,Prunella modularis,Prunella collaris,Cercotrichas galactotes,Erithacus rubecula,Luscinia luscinia,Luscinia megarhynchos,Phoenicurus ochruros,Saxicola torquatus,Oenanthe isabellina,Oenanthe pleschanka,Oenanthe hispanica,Oenanthe leucura,Monticola saxatilis,Monticola solitarius,Turdus torquatus,Turdus pilaris,Turdus philomelos,Turdus iliacus,Turdus viscivorus,Cettia cetti,Cisticola juncidis,Locustella naevia,Locustella fluviatilis,Locustella luscinioides,Acrocephalus melanopogon,Acrocephalus paludicola,Acrocephalus palustris,Acrocephalus agricola,Acrocephalus dumetorum,Curruca nisoria,Acrocephalus arundinaceus,Iduna pallida,Hippolais olivetorum,Hippolais polyglotta,Curruca undata,Curruca conspicillata,Curruca cantillans,Curruca melanocephala,Curruca ruppeli,Curruca hortensis,Curruca curruca,Curruca communis,Sylvia borin,Phylloscopus trochiloides,Phylloscopus borealis,Phylloscopus bonelli,Phylloscopus trochilus,Bucanetes githagineus,Emberiza aureola,Calonectris diomedea,Pelecanus crispus,Phoenicopterus roseus,Aix sponsa,Oxyura leucocephala,Calidris minuta,Larus genei,Amandava amandava,Hydrobates leucorhous,Circus macrourus,Vanellus spinosus,Xenus cinereus,Tarsiger cyanurus,Estrilda melpoda,Pelecanus onocrotalus,Chrysolophus amherstiae,Meleagris gallopavo,Larus audouinii,Uria lomvia,Somateria spectabilis,Anser brachyrhynchus,Glareola nordmanni,Gavia immer,Puffinus mauretanicus,Hydrobates castro,Alectoris barbara,Acridotheres cristatellus,Pelagodroma marina,Vanellus leucurus,Oenanthe deserti,Emberiza bruniceps
29SND2,2710311.7174020633,1975498.0238023067,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
29SND3,2770090.5718831206,2011722.556109633,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
29SND4,2758911.0148001676,1963096.7405901635,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
29SNE2,2732792.9296356267,2072789.6426192606,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
29SNE4,2781335.7831795425,2060355.942930184,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
29SPB2,2763607.5883031804,1756423.4593849268,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
29SPB3,2823239.4460454034,1792788.9525033918,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
29SPB4,2812389.6055622967,1744239.5209564683,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
29SPC1,2796456.694384392,1902163.5557429565,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
29SPC4,2834157.6140950476,1841348.98999183,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
29SPD2,2807540.802822005,1950762.6058475827,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
